Actual,Predicted
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
8.0,4.4302013125763136
0.0,0.0
0.0,0.0
1.0,1.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
1.0,1.0
0.0,0.0
0.0,0.0
2.0,1.6798119970334442
0.0,0.0
0.0,0.0
2.0,1.646381627654089
0.0,0.0
0.0,0.0
1.0,1.0
0.0,0.0
4.0,2.9408764033043213
0.0,0.0
1.0,2.9408764033043213
0.0,0.0
3.0,2.670871085785694
0.0,0.0
1.0,2.64123702934954
0.0,0.0
5.0,3.6993565181560397
0.0,0.0
2.0,3.8538889780470322
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
1.0,1.0
0.0,0.0
3.0,2.589341225088566
0.0,0.0
0.0,0.0
1.0,1.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
1.0,1.0
0.0,0.0
0.0,0.0
2.0,1.6557207809126748
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
2.0,1.6723280493708876
0.0,0.0
1.0,2.079879535119587
0.0,0.0
1.0,1.6723280493708876
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
3.0,2.06029231150708
0.0,0.0
1.0,2.64123702934954
0.0,0.0
0.0,0.0
0.0,0.0
1.0,1.0
4.0,3.8889952568258948
0.0,0.0
0.0,0.0
0.0,0.0
3.0,2.079879535119587
0.0,0.0
0.0,0.0
2.0,1.6723280493708876
0.0,0.0
1.0,2.079879535119587
